path,category,layer,owner_area,realism_class,seam_family,allowed_for,not_enough_for,primary_claim
app/Preflight/preflight_gating_smoke.swift,swift-smoke,smoke,app/Preflight,mock,fixture,"schema/contract compatibility, deterministic regressions, bounded scripted-e2e checks",live-real device/TCC behavior or certification-style product-journey claims,preflight gating
app/Preflight/preflight_smoke.swift,swift-smoke,smoke,app/Preflight,mock,fixture,"schema/contract compatibility, deterministic regressions, bounded scripted-e2e checks",live-real device/TCC behavior or certification-style product-journey claims,preflight
app/RecorditAppTests/RecorditAppTests.swift,xctest,xctest,app/RecorditAppTests,mock,fixture,"schema/contract compatibility, deterministic regressions, bounded scripted-e2e checks",live-real device/TCC behavior or certification-style product-journey claims,SwiftUI app/view-model XCTest coverage with injected services
app/RuntimeProcessLayer/runtime_binary_readiness_smoke.swift,swift-smoke,smoke,app/RuntimeProcessLayer,mock,fixture,"schema/contract compatibility, deterministic regressions, bounded scripted-e2e checks",live-real device/TCC behavior or certification-style product-journey claims,runtime binary readiness
app/Services/jsonl_tailer_smoke.swift,swift-smoke,smoke,app/Services,fixture,fixture,"schema/contract compatibility, deterministic regressions, bounded scripted-e2e checks",live-real device/TCC behavior or certification-style product-journey claims,jsonl tailer
app/Services/model_resolution_smoke.swift,swift-smoke,smoke,app/Services,fixture,fixture,"schema/contract compatibility, deterministic regressions, bounded scripted-e2e checks",live-real device/TCC behavior or certification-style product-journey claims,model resolution
app/Services/pending_transcribe_action_smoke.swift,swift-smoke,smoke,app/Services,mock,fixture,"schema/contract compatibility, deterministic regressions, bounded scripted-e2e checks",live-real device/TCC behavior or certification-style product-journey claims,pending transcribe action
app/UIAutomation/ui_automation_smoke.swift,swift-smoke,smoke,app/UIAutomation,mock,fixture,"schema/contract compatibility, deterministic regressions, bounded scripted-e2e checks",live-real device/TCC behavior or certification-style product-journey claims,ui automation
app/ViewModels/runtime_state_machine_smoke.swift,swift-smoke,smoke,app/ViewModels,mock,fixture,"schema/contract compatibility, deterministic regressions, bounded scripted-e2e checks",live-real device/TCC behavior or certification-style product-journey claims,runtime state machine
app/ViewModels/runtime_status_mapping_smoke.swift,swift-smoke,smoke,app/ViewModels,mock,fixture,"schema/contract compatibility, deterministic regressions, bounded scripted-e2e checks",live-real device/TCC behavior or certification-style product-journey claims,runtime status mapping
scripts/gate_backlog_pressure.sh,shell-harness,scripted-e2e,scripts,fixture,fixture,"schema/contract compatibility, deterministic regressions, bounded scripted-e2e checks",live-real device/TCC behavior or certification-style product-journey claims,deterministic backlog-pressure gate with retained logs
scripts/gate_d_soak.sh,shell-harness,scripted-e2e,scripts,fixture,fixture,"schema/contract compatibility, deterministic regressions, bounded scripted-e2e checks",live-real device/TCC behavior or certification-style product-journey claims,deterministic gate-D soak scenario with fixture-driven inputs
scripts/gate_packaged_live_smoke.sh,shell-harness,release-script,scripts,packaged-app,fixture,"schema/contract compatibility, deterministic regressions, bounded scripted-e2e checks",live-real device/TCC behavior or certification-style product-journey claims,packaged Recordit.app live smoke and evidence capture
scripts/gate_transcript_completeness.sh,shell-harness,scripted-e2e,scripts,fixture,fixture,"schema/contract compatibility, deterministic regressions, bounded scripted-e2e checks",live-real device/TCC behavior or certification-style product-journey claims,transcript completeness gate with evidence output
scripts/gate_v1_acceptance.sh,shell-harness,release-script,scripts,packaged-app,fixture,"schema/contract compatibility, deterministic regressions, bounded scripted-e2e checks",live-real device/TCC behavior or certification-style product-journey claims,v1 acceptance harness spanning release/runtime evidence
src/bin/transcribe_live/app.rs,rust-inline-tests,unit,src/bin/transcribe_live,mock,fixture,"schema/contract compatibility, deterministic regressions, bounded scripted-e2e checks",live-real device/TCC behavior or certification-style product-journey claims,app
src/bin/transcribe_live/artifacts.rs,rust-inline-tests,unit,src/bin/transcribe_live,fixture,fixture,"schema/contract compatibility, deterministic regressions, bounded scripted-e2e checks",live-real device/TCC behavior or certification-style product-journey claims,artifacts
src/bin/transcribe_live/contracts_models.rs,rust-inline-tests,unit,src/bin/transcribe_live,fixture,fixture,"schema/contract compatibility, deterministic regressions, bounded scripted-e2e checks",live-real device/TCC behavior or certification-style product-journey claims,contracts models
src/bin/transcribe_live/runtime_manifest_models.rs,rust-inline-tests,unit,src/bin/transcribe_live,fixture,fixture,"schema/contract compatibility, deterministic regressions, bounded scripted-e2e checks",live-real device/TCC behavior or certification-style product-journey claims,runtime manifest models
src/live_capture.rs,rust-inline-tests,unit,src,fixture,fixture,"schema/contract compatibility, deterministic regressions, bounded scripted-e2e checks",live-real device/TCC behavior or certification-style product-journey claims,live capture
src/recordit_cli.rs,rust-inline-tests,unit,src,fixture,fixture,"schema/contract compatibility, deterministic regressions, bounded scripted-e2e checks",live-real device/TCC behavior or certification-style product-journey claims,recordit cli
tests/bd_1n5v_contract_regression.rs,rust-tests,integration,tests,fixture,fixture,"schema/contract compatibility, deterministic regressions, bounded scripted-e2e checks",live-real device/TCC behavior or certification-style product-journey claims,runtime diagnostics contract regression for bd-1n5v
tests/bd_26pm_refactor_stability.rs,rust-tests,integration,tests,fixture,fixture,"schema/contract compatibility, deterministic regressions, bounded scripted-e2e checks",live-real device/TCC behavior or certification-style product-journey claims,refactor stability regression for bd-26pm
tests/contract_baseline_matrix.rs,rust-tests,integration,tests,fixture,fixture,"schema/contract compatibility, deterministic regressions, bounded scripted-e2e checks",live-real device/TCC behavior or certification-style product-journey claims,baseline contract matrix coverage
tests/e2e_evidence_contract/test_validator.py,python-test,contract-test,tests/e2e_evidence_contract,fixture,fixture,"schema/contract compatibility, deterministic regressions, bounded scripted-e2e checks",live-real device/TCC behavior or certification-style product-journey claims,e2e evidence contract validator behavior
tests/historical_replay_compat_regression.rs,rust-tests,integration,tests,fixture,fixture,"schema/contract compatibility, deterministic regressions, bounded scripted-e2e checks",live-real device/TCC behavior or certification-style product-journey claims,historical replay compatibility regression
tests/live_asr_fault_injection_e2e.rs,rust-tests,scripted-e2e,tests,fixture,fixture,"schema/contract compatibility, deterministic regressions, bounded scripted-e2e checks",live-real device/TCC behavior or certification-style product-journey claims,live ASR fault-injection end-to-end failure behavior
tests/live_asr_request_path_parity.rs,rust-tests,integration,tests,fixture,fixture,"schema/contract compatibility, deterministic regressions, bounded scripted-e2e checks",live-real device/TCC behavior or certification-style product-journey claims,live ASR request path parity
tests/live_stream_true_live_integration.rs,rust-tests,scripted-e2e,tests,fixture,fixture,"schema/contract compatibility, deterministic regressions, bounded scripted-e2e checks",live-real device/TCC behavior or certification-style product-journey claims,live stream capture/runtime integration with host prerequisites
tests/modular_stability_contract.rs,rust-tests,integration,tests,fixture,fixture,"schema/contract compatibility, deterministic regressions, bounded scripted-e2e checks",live-real device/TCC behavior or certification-style product-journey claims,module boundary stability contract
tests/modular_stability_suite.rs,rust-tests,integration,tests,fixture,fixture,"schema/contract compatibility, deterministic regressions, bounded scripted-e2e checks",live-real device/TCC behavior or certification-style product-journey claims,multi-module stability regression suite
tests/recordit_cli_contract.rs,rust-tests,integration,tests,fixture,fixture,"schema/contract compatibility, deterministic regressions, bounded scripted-e2e checks",live-real device/TCC behavior or certification-style product-journey claims,recordit CLI contract and argument behavior
tests/recordit_cli_dispatch.rs,rust-tests,integration,tests,fixture,fixture,"schema/contract compatibility, deterministic regressions, bounded scripted-e2e checks",live-real device/TCC behavior or certification-style product-journey claims,recordit CLI subcommand dispatch behavior
tests/recordit_exit_behavior_matrix.rs,rust-tests,integration,tests,fixture,fixture,"schema/contract compatibility, deterministic regressions, bounded scripted-e2e checks",live-real device/TCC behavior or certification-style product-journey claims,recordit exit-behavior matrix across outcomes
tests/recordit_exit_contract.rs,rust-tests,integration,tests,fixture,fixture,"schema/contract compatibility, deterministic regressions, bounded scripted-e2e checks",live-real device/TCC behavior or certification-style product-journey claims,recordit exit contract semantics
tests/representative_offline_request_regression.rs,rust-tests,integration,tests,fixture,fixture,"schema/contract compatibility, deterministic regressions, bounded scripted-e2e checks",live-real device/TCC behavior or certification-style product-journey claims,representative offline request regression against frozen fixtures
tests/runtime_jsonl_contract.rs,rust-tests,integration,tests,fixture,fixture,"schema/contract compatibility, deterministic regressions, bounded scripted-e2e checks",live-real device/TCC behavior or certification-style product-journey claims,runtime JSONL event contract
tests/runtime_jsonl_schema_contract.rs,rust-tests,integration,tests,fixture,fixture,"schema/contract compatibility, deterministic regressions, bounded scripted-e2e checks",live-real device/TCC behavior or certification-style product-journey claims,runtime JSONL schema validation
tests/runtime_manifest_contract.rs,rust-tests,integration,tests,fixture,fixture,"schema/contract compatibility, deterministic regressions, bounded scripted-e2e checks",live-real device/TCC behavior or certification-style product-journey claims,runtime manifest contract compatibility
tests/runtime_manifest_schema_contract.rs,rust-tests,integration,tests,fixture,fixture,"schema/contract compatibility, deterministic regressions, bounded scripted-e2e checks",live-real device/TCC behavior or certification-style product-journey claims,runtime manifest schema validation
tests/runtime_mode_matrix_contract.rs,rust-tests,integration,tests,fixture,fixture,"schema/contract compatibility, deterministic regressions, bounded scripted-e2e checks",live-real device/TCC behavior or certification-style product-journey claims,runtime mode matrix contract
tests/transcribe_live_failed_status_contract.rs,rust-tests,integration,tests,fixture,fixture,"schema/contract compatibility, deterministic regressions, bounded scripted-e2e checks",live-real device/TCC behavior or certification-style product-journey claims,failed-status emission contract for transcribe_live
tests/transcribe_live_legacy_entrypoints_compat.rs,rust-tests,integration,tests,fixture,fixture,"schema/contract compatibility, deterministic regressions, bounded scripted-e2e checks",live-real device/TCC behavior or certification-style product-journey claims,legacy transcribe_live entrypoint compatibility
app/Services/pending_transcribe_action_smoke.swift,swift-smoke,smoke,app/Services,mock,mock,unit logic coverage; narrow view-model/controller behavior; deterministic failure-branch checks,"integration realism, app-journey proof, release claims, or any “full coverage” statement",pending transcribe action
app/Services/startup_migration_repair_smoke.swift,swift-smoke,smoke,app/Services,mock,mock,unit logic coverage; narrow view-model/controller behavior; deterministic failure-branch checks,"integration realism, app-journey proof, release claims, or any “full coverage” statement",startup migration repair
app/UIAutomation/ui_automation_smoke.swift,swift-smoke,smoke,app/UIAutomation,mock,mock,unit logic coverage; narrow view-model/controller behavior; deterministic failure-branch checks,"integration realism, app-journey proof, release claims, or any “full coverage” statement",ui automation
app/ViewModels/runtime_status_mapping_smoke.swift,swift-smoke,smoke,app/ViewModels,mock,mock,unit logic coverage; narrow view-model/controller behavior; deterministic failure-branch checks,"integration realism, app-journey proof, release claims, or any “full coverage” statement",runtime status mapping
app/ViewModels/session_list_smoke.swift,swift-smoke,smoke,app/ViewModels,mock,mock,unit logic coverage; narrow view-model/controller behavior; deterministic failure-branch checks,"integration realism, app-journey proof, release claims, or any “full coverage” statement",session list
src/bin/transcribe_live/app.rs,rust-inline-tests,unit,src/bin/transcribe_live,mock,mock,unit logic coverage; narrow view-model/controller behavior; deterministic failure-branch checks,"integration realism, app-journey proof, release claims, or any “full coverage” statement",app
src/live_asr_pool.rs,rust-inline-tests,unit,src,mock,mock,unit logic coverage; narrow view-model/controller behavior; deterministic failure-branch checks,"integration realism, app-journey proof, release claims, or any “full coverage” statement",live asr pool
scripts/ci_recordit_xctest_evidence.sh,shell-harness,release-script,scripts,packaged-app,packaged_checks,"signing, payload inventory, release-context parity, and packaged-artifact shape claims","live capture success, first-run onboarding, or installed-app journey claims by itself",retained XCTest/XCUITest evidence capture harness
scripts/create_recordit_dmg.sh,shell-harness,release-script,scripts,packaged-app,packaged_checks,"signing, payload inventory, release-context parity, and packaged-artifact shape claims","live capture success, first-run onboarding, or installed-app journey claims by itself",DMG packaging artifact creation (release-support surface)
scripts/gate_packaged_live_smoke.sh,shell-harness,release-script,scripts,packaged-app,packaged_checks,"signing, payload inventory, release-context parity, and packaged-artifact shape claims","live capture success, first-run onboarding, or installed-app journey claims by itself",packaged Recordit.app live smoke and evidence capture
scripts/gate_v1_acceptance.sh,shell-harness,release-script,scripts,packaged-app,packaged_checks,"signing, payload inventory, release-context parity, and packaged-artifact shape claims","live capture success, first-run onboarding, or installed-app journey claims by itself",v1 acceptance harness spanning release/runtime evidence
scripts/verify_recordit_release_context.sh,shell-harness,release-script,scripts,packaged-app,packaged_checks,"signing, payload inventory, release-context parity, and packaged-artifact shape claims","live capture success, first-run onboarding, or installed-app journey claims by itself","release-context signing, payload, and parity verification"
app/AppShell/app_environment_smoke.swift,swift-smoke,smoke,app/AppShell,mock,preview_di,SwiftUI rendering and state-presentation checks,"startup/readiness correctness, session persistence claims, or support-bundle truthfulness",app environment
app/RecorditAppTests/RecorditAppTests.swift,xctest,xctest,app/RecorditAppTests,mock,preview_di,SwiftUI rendering and state-presentation checks,"startup/readiness correctness, session persistence claims, or support-bundle truthfulness",SwiftUI app/view-model XCTest coverage with injected services
app/RecorditAppUITests/RecorditAppUITests.swift,xcuitest,xcuitest,app/RecorditAppUITests,fixture,runtime_override,automation bootstrapping where the override is explicit and separately audited,claims that bundled runtime/model lookup works in the shipped app posture,XCUITest app journeys under RECORDIT_UI_TEST_MODE
scripts/ci_recordit_xctest_evidence.sh,shell-harness,release-script,scripts,packaged-app,runtime_override,automation bootstrapping where the override is explicit and separately audited,claims that bundled runtime/model lookup works in the shipped app posture,retained XCTest/XCUITest evidence capture harness
scripts/gate_packaged_live_smoke.sh,shell-harness,release-script,scripts,packaged-app,runtime_override,automation bootstrapping where the override is explicit and separately audited,claims that bundled runtime/model lookup works in the shipped app posture,packaged Recordit.app live smoke and evidence capture
app/UIAutomation/ui_automation_smoke.swift,swift-smoke,smoke,app/UIAutomation,mock,scripted_runtime,branch coverage for UX states and controlled failure/recovery paths,"proof of real runtime ownership, real binary execution, or production event sequencing",ui automation
app/AppShell/app_environment_smoke.swift,swift-smoke,smoke,app/AppShell,mock,stub,unit and smoke tests where the seam is explicit and the claim stays logic-local,"runtime authority, end-to-end app behavior, or packaged-app confidence claims",app environment
app/AppShell/onboarding_completion_smoke.swift,swift-smoke,smoke,app/AppShell,mock,stub,unit and smoke tests where the seam is explicit and the claim stays logic-local,"runtime authority, end-to-end app behavior, or packaged-app confidence claims",onboarding completion
app/Integration/process_lifecycle_integration_smoke.swift,swift-smoke,smoke,app/Integration,mock,stub,unit and smoke tests where the seam is explicit and the claim stays logic-local,"runtime authority, end-to-end app behavior, or packaged-app confidence claims",process lifecycle
app/Integration/process_lifecycle_soak_smoke.swift,swift-smoke,smoke,app/Integration,mock,stub,unit and smoke tests where the seam is explicit and the claim stays logic-local,"runtime authority, end-to-end app behavior, or packaged-app confidence claims",process lifecycle soak
app/Preflight/preflight_gating_smoke.swift,swift-smoke,smoke,app/Preflight,mock,stub,unit and smoke tests where the seam is explicit and the claim stays logic-local,"runtime authority, end-to-end app behavior, or packaged-app confidence claims",preflight gating
app/Preflight/preflight_smoke.swift,swift-smoke,smoke,app/Preflight,mock,stub,unit and smoke tests where the seam is explicit and the claim stays logic-local,"runtime authority, end-to-end app behavior, or packaged-app confidence claims",preflight
app/RecorditAppTests/RecorditAppTests.swift,xctest,xctest,app/RecorditAppTests,mock,stub,unit and smoke tests where the seam is explicit and the claim stays logic-local,"runtime authority, end-to-end app behavior, or packaged-app confidence claims",SwiftUI app/view-model XCTest coverage with injected services
app/RuntimeProcessLayer/process_lifecycle_integration_smoke.swift,swift-smoke,smoke,app/RuntimeProcessLayer,mock,stub,unit and smoke tests where the seam is explicit and the claim stays logic-local,"runtime authority, end-to-end app behavior, or packaged-app confidence claims",process lifecycle
app/RuntimeProcessLayer/runtime_binary_readiness_smoke.swift,swift-smoke,smoke,app/RuntimeProcessLayer,mock,stub,unit and smoke tests where the seam is explicit and the claim stays logic-local,"runtime authority, end-to-end app behavior, or packaged-app confidence claims",runtime binary readiness
app/UIAutomation/ui_automation_smoke.swift,swift-smoke,smoke,app/UIAutomation,mock,stub,unit and smoke tests where the seam is explicit and the claim stays logic-local,"runtime authority, end-to-end app behavior, or packaged-app confidence claims",ui automation
app/ViewModels/runtime_state_machine_smoke.swift,swift-smoke,smoke,app/ViewModels,mock,stub,unit and smoke tests where the seam is explicit and the claim stays logic-local,"runtime authority, end-to-end app behavior, or packaged-app confidence claims",runtime state machine
app/ViewModels/runtime_status_mapping_smoke.swift,swift-smoke,smoke,app/ViewModels,mock,stub,unit and smoke tests where the seam is explicit and the claim stays logic-local,"runtime authority, end-to-end app behavior, or packaged-app confidence claims",runtime status mapping
app/ViewModels/runtime_stop_finalization_smoke.swift,swift-smoke,smoke,app/ViewModels,mock,stub,unit and smoke tests where the seam is explicit and the claim stays logic-local,"runtime authority, end-to-end app behavior, or packaged-app confidence claims",runtime stop finalization
app/AppShell/app_environment_smoke.swift,swift-smoke,smoke,app/AppShell,mock,temp_filesystem,service/process boundary checks and retained-artifact logic in isolated local runs,"installed app behavior, DMG install/open proof, or production filesystem assumptions",app environment
app/Exports/export_smoke.swift,swift-smoke,smoke,app/Exports,fixture,temp_filesystem,service/process boundary checks and retained-artifact logic in isolated local runs,"installed app behavior, DMG install/open proof, or production filesystem assumptions",export
app/Integration/process_lifecycle_integration_smoke.swift,swift-smoke,smoke,app/Integration,mock,temp_filesystem,service/process boundary checks and retained-artifact logic in isolated local runs,"installed app behavior, DMG install/open proof, or production filesystem assumptions",process lifecycle
app/Integration/process_lifecycle_soak_smoke.swift,swift-smoke,smoke,app/Integration,mock,temp_filesystem,service/process boundary checks and retained-artifact logic in isolated local runs,"installed app behavior, DMG install/open proof, or production filesystem assumptions",process lifecycle soak
app/RecorditAppTests/RecorditAppTests.swift,xctest,xctest,app/RecorditAppTests,mock,temp_filesystem,service/process boundary checks and retained-artifact logic in isolated local runs,"installed app behavior, DMG install/open proof, or production filesystem assumptions",SwiftUI app/view-model XCTest coverage with injected services
app/RuntimeProcessLayer/process_lifecycle_integration_smoke.swift,swift-smoke,smoke,app/RuntimeProcessLayer,mock,temp_filesystem,service/process boundary checks and retained-artifact logic in isolated local runs,"installed app behavior, DMG install/open proof, or production filesystem assumptions",process lifecycle
app/RuntimeProcessLayer/runtime_binary_readiness_smoke.swift,swift-smoke,smoke,app/RuntimeProcessLayer,mock,temp_filesystem,service/process boundary checks and retained-artifact logic in isolated local runs,"installed app behavior, DMG install/open proof, or production filesystem assumptions",runtime binary readiness
app/Services/jsonl_tailer_smoke.swift,swift-smoke,smoke,app/Services,fixture,temp_filesystem,service/process boundary checks and retained-artifact logic in isolated local runs,"installed app behavior, DMG install/open proof, or production filesystem assumptions",jsonl tailer
app/Services/legacy_flat_migration_smoke.swift,swift-smoke,smoke,app/Services,temp-filesystem,temp_filesystem,service/process boundary checks and retained-artifact logic in isolated local runs,"installed app behavior, DMG install/open proof, or production filesystem assumptions",legacy flat migration
app/Services/model_resolution_smoke.swift,swift-smoke,smoke,app/Services,fixture,temp_filesystem,service/process boundary checks and retained-artifact logic in isolated local runs,"installed app behavior, DMG install/open proof, or production filesystem assumptions",model resolution
app/Services/pending_queue_integration_smoke.swift,swift-smoke,smoke,app/Services,temp-filesystem,temp_filesystem,service/process boundary checks and retained-artifact logic in isolated local runs,"installed app behavior, DMG install/open proof, or production filesystem assumptions",pending queue
app/Services/pending_transcribe_action_smoke.swift,swift-smoke,smoke,app/Services,mock,temp_filesystem,service/process boundary checks and retained-artifact logic in isolated local runs,"installed app behavior, DMG install/open proof, or production filesystem assumptions",pending transcribe action
app/Services/pending_transition_smoke.swift,swift-smoke,smoke,app/Services,temp-filesystem,temp_filesystem,service/process boundary checks and retained-artifact logic in isolated local runs,"installed app behavior, DMG install/open proof, or production filesystem assumptions",pending transition
app/Services/session_search_index_smoke.swift,swift-smoke,smoke,app/Services,temp-filesystem,temp_filesystem,service/process boundary checks and retained-artifact logic in isolated local runs,"installed app behavior, DMG install/open proof, or production filesystem assumptions",session search index
app/Services/startup_migration_repair_smoke.swift,swift-smoke,smoke,app/Services,mock,temp_filesystem,service/process boundary checks and retained-artifact logic in isolated local runs,"installed app behavior, DMG install/open proof, or production filesystem assumptions",startup migration repair
app/ViewModels/runtime_stop_finalization_smoke.swift,swift-smoke,smoke,app/ViewModels,mock,temp_filesystem,service/process boundary checks and retained-artifact logic in isolated local runs,"installed app behavior, DMG install/open proof, or production filesystem assumptions",runtime stop finalization
tests/e2e_evidence_contract/test_validator.py,python-test,contract-test,tests/e2e_evidence_contract,fixture,temp_filesystem,service/process boundary checks and retained-artifact logic in isolated local runs,"installed app behavior, DMG install/open proof, or production filesystem assumptions",e2e evidence contract validator behavior
app/RecorditAppTests/RecorditAppTests.swift,xctest,xctest,app/RecorditAppTests,mock,ui_test_mode,UI flow automation and deterministic onboarding/runtime affordance coverage,proof that the production app environment can satisfy runtime/preflight requirements,SwiftUI app/view-model XCTest coverage with injected services
app/RecorditAppUITests/RecorditAppUITests.swift,xcuitest,xcuitest,app/RecorditAppUITests,fixture,ui_test_mode,UI flow automation and deterministic onboarding/runtime affordance coverage,proof that the production app environment can satisfy runtime/preflight requirements,XCUITest app journeys under RECORDIT_UI_TEST_MODE
